"id","iv.Group","iv.set","iv.order","startdate","submitdate","valid.row","experiment.count","lastpage","Consent","Tutorial","Experience","notation.experience","Total.Time","Concent.Time","Tutorial.Time","Survey.Time","Gender","Age","Degree","Role.count","Role.R1","Role.R2","Role.R3","Role.R4","Role.R5","Role.R6","Role.R7","Role.R8","Role.R9","Role.R10","Role.other","Bias.count","Bias.B1","Bias.B2","Bias.B3","Bias.B4","Bias.B5","Bias.B6","Bias.B7","Bias.B8","Bias.B9","Bias.B10","Bias.other","IT","Work","Training","Notation.count","Notation.None","Notation.BPMN","Notation.EPC","Notation.UMLAD","Notation.UML","Notation.CMMN","Notation.other","A.perceived","A.Correct","A.Time","A.Efficacy","A.Efficiency","iv.A.model","iv.A.name","iv.A.CC","iv.A.CL","iv.A.CS","iv.A.CAS","iv.A.CS.SC","iv.A.CS.SS","iv.A.CS.SDS","iv.A.CS.SPF","iv.A.CS.DI","iv.A.CS.PT","iv.A.CS.PDT","iv.A.CS.PE","iv.A.CS.PM","iv.A.CS.OC","iv.A.CAS.DCP","iv.A.CAS.DEP","iv.A.CAS.DAC","iv.A.CAS.DC","iv.A.CAS.DE","iv.A.CAS.DMA","iv.A.CAS.DRN","iv.A.CAS.DR","iv.A.CAS.SE","iv.A.CAS.SX","iv.A.CAS.MH","iv.A.CAS.MP","iv.A.CAS.MC","iv.A.CAS.MHB","iv.A.CAS.MT","B.perceived","B.Correct","B.Time","B.Efficacy","B.Efficiency","iv.B.model","iv.B.name","iv.B.CC","iv.B.CL","iv.B.CS","iv.B.CAS","iv.B.CS.SC","iv.B.CS.SS","iv.B.CS.SDS","iv.B.CS.SPF","iv.B.CS.DI","iv.B.CS.PT","iv.B.CS.PDT","iv.B.CS.PE","iv.B.CS.PM","iv.B.CS.OC","iv.B.CAS.DCP","iv.B.CAS.DEP","iv.B.CAS.DAC","iv.B.CAS.DC","iv.B.CAS.DE","iv.B.CAS.DMA","iv.B.CAS.DRN","iv.B.CAS.DR","iv.B.CAS.SE","iv.B.CAS.SX","iv.B.CAS.MH","iv.B.CAS.MP","iv.B.CAS.MC","iv.B.CAS.MHB","iv.B.CAS.MT","C.Compare","iv.C.obs","iv.C.calc","iv.C.CC","iv.C.order3.CC","iv.C.order15.CC","iv.C.CL","iv.C.order3.CL","iv.C.order15.CL","iv.C.CS","iv.C.order3.CS","iv.C.order15.CS","iv.C.CAS","iv.C.order3.CAS","iv.C.order15.CAS","Weights.count","Weights.CasePlan","Weights.Stage","Weights.DStage","Weights.PlanFrag","Weights.CFileItem","Weights.Task","Weights.DTask","Weights.NBHTask","Weights.ProcTask","Weights.CaseTask","Weights.CaseTasknim","Weights.BHTask","Weights.Event","Weights.UserEvent","Weights.TimerEvent","Weights.Milestone","Weights.Connector","Weights.HumanIcon","Weights.CPlanningT","Weights.EPlanningT","Weights.AComplete","Weights.Collapsed","Weights.Expanded","Weights.ManualA","Weights.Repetition","Weights.Required","Weights.EntryCritWC","Weights.EntryCrit","Weights.ExitCritWC","Weights.ExitCrit","Weights.EntryCritAND","Weights.EntryCritOR","Weights.ExitCritAND","Weights.ExitCritOR","Charity","Charity.other"
113,24,13,2,"2016-06-16 07:57:38","2016-06-16 08:35:52",1,5,8,1,1,,6,2297.26,90.73,1711.13,495.4,"M",25,4,2,,,,1,,,,,1,,,3,,1,,1,,1,,,,,,4,3,20,4,,1,,1,1,1,,3,2.75,174.94,0.55,0.0157196753172516,5,"m5a",102,4,45,45,3,0,2,1,4,3,8,7,5,12,2,2,2,1,2,1,1,2,10,4,7,0,4,3,4,5,3,111.89,0.6,0.0268120475466977,4,"m4b",96,4,40,50,1,4,4,1,4,2,11,2,5,6,2,3,3,3,6,3,2,2,9,2,0,2,1,10,2,1,"m5vs4","m5vs4",4.43,"A>B","m5>m4",5,"A=B","m5=m4",2.78,"A>B","m5>m4",7.22,"A<B","m5<m4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A4",
115,26,5,2,"2016-06-16 10:08:30","2016-06-16 19:34:54",1,5,8,1,1,,6,2273.45,34.89,40.63,2197.93,"M",58,5,1,,,,,,,,1,,,,3,,1,,1,,1,,,,,,20,10,40,3,,1,,1,,1,,2,3,1512.87,0.6,0.00198298598028912,6,"m6a",114,4,37,53,1,1,8,0,1,5,10,2,3,6,4,6,2,0,9,3,2,3,3,4,10,0,0,6,1,2,3,246.34,0.6,0.0121782901680604,1,"m1b",72,2,44,46,4,5,0,0,8,10,0,0,5,12,4,0,7,5,0,5,3,5,3,4,1,0,2,7,0,5,"m6vs1","m6vs1",1,"A>B","m6>m1",2.33,"A>B","m6>m1",8.11,"A<B","m6<m1",1.89,"A>B","m6>m1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A3",
116,27,9,2,"2016-06-16 13:36:36","2016-06-16 16:36:03",1,5,8,1,2,1,6,10770.2,21.05,0,10749.15,"M",30,4,4,,1,,1,1,,1,,,,,3,,1,,1,,1,,,,,,7,6,2,5,,1,,1,1,1,"Data Flow Diagrams (context models), state diagrams, ",2,4,10248.9,0.8,0.00039028578676736,6,"m6a",114,4,37,53,1,1,8,0,1,5,10,2,3,6,4,6,2,0,9,3,2,3,3,4,10,0,0,6,1,3,3,96.54,0.6,0.0310752019888129,2,"m2b",82,5,36,54,1,5,1,1,1,7,5,1,1,13,3,2,5,4,3,2,8,0,10,4,2,1,1,8,1,3,"m6vs2","m6vs2",1.95,"A>B","m6>m2",6.33,"A<B","m6<m2",4.56,"A=B","m6=m2",5.44,"A=B","m6=m2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A4",
120,1,1,1,"2016-06-17 08:58:11","2016-06-17 13:36:28",1,5,8,1,1,,4,451.7,9.22,31.71,410.77,"M",49,5,6,,,1,1,1,1,1,1,,,,1,,,,,1,,,,,,,30,17,3,1,,1,,,,,,2,2,62.83,0.4,0.0318319274232055,1,"m1a",72,2,44,46,4,5,0,0,8,10,0,0,5,12,4,0,7,5,0,5,3,5,3,4,1,0,2,7,0,2,3,141.97,0.6,0.0211312249066704,2,"m2a",82,5,36,54,1,5,1,1,1,7,5,1,1,13,3,2,5,4,3,2,8,0,10,4,2,1,1,8,1,8,"m1vs2","m2vs1",4.05,"A>B","m2>m1",1,"A>B","m2>m1",8.56,"A<B","m2<m1",1.44,"A>B","m2>m1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A3",
121,2,2,1,"2016-06-17 22:26:28","2016-06-18 04:09:54",1,5,8,1,1,,4,4754.94,18.66,2952.08,1784.2,"M",74,5,3,,1,,,,,1,,,,"Business Systems Consultant",4,,1,,1,,1,,,,,"CMMN wil transform knowledge management",50,20,0,2,,1,,1,,,,3,4,371.27,0.8,0.0107738303660409,1,"m1a",72,2,44,46,4,5,0,0,8,10,0,0,5,12,4,0,7,5,0,5,3,5,3,4,1,0,2,7,0,5,4,319.38,0.8,0.0125242657649195,3,"m3a",87,5,42,48,1,9,7,0,4,6,1,1,5,8,0,4,2,10,6,5,2,2,2,7,0,0,0,8,0,8,"m1vs3","m3vs1",3.57,"A>B","m3>m1",1,"A>B","m3>m1",5.89,"A<B","m3<m1",4.11,"A>B","m3>m1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,3,3,1,"2016-06-17 22:57:24","2016-06-18 07:01:01",1,5,8,1,1,,6,5282.42,119.98,1819.67,3342.77,"M",,4,1,,,,,,,,,,,"IIT specialist",3,,,1,1,,1,,,,,,35,10,20,2,,,,,,1,"YAWL",5,4,1955.41,0.8,0.00204560680368823,1,"m1a",72,2,44,46,4,5,0,0,8,10,0,0,5,12,4,0,7,5,0,5,3,5,3,4,1,0,2,7,0,5,3,437.68,0.6,0.00685432279290806,4,"m4a",96,4,40,50,1,4,4,1,4,2,11,2,5,6,2,3,3,3,6,3,2,2,9,2,0,2,1,10,2,5,"m1vs4","m4vs1",2.71,"A>B","m4>m1",2.33,"A>B","m4>m1",6.78,"A<B","m4<m1",3.22,"A>B","m4>m1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A3",
124,5,5,1,"2016-06-19 20:57:11","2016-06-19 22:24:13",1,6,8,1,1,,6,5223.56,172.43,4112,939.13,"M",36,4,1,,,,,,,,,,,"implementation provider",4,,1,,1,,1,1,,,,,12,3,4,4,,1,,1,1,1,,5,4,267.01,0.8,0.0149807123328714,1,"m1a",72,2,44,46,4,5,0,0,8,10,0,0,5,12,4,0,7,5,0,5,3,5,3,4,1,0,2,7,0,5,5,149.11,1,0.0335322915968077,6,"m6a",114,4,37,53,1,1,8,0,1,5,10,2,3,6,4,6,2,0,9,3,2,3,3,4,10,0,0,6,1,6,"m1vs6","m6vs1",1,"A>B","m6>m1",2.33,"A>B","m6>m1",8.11,"A<B","m6<m1",1.89,"A>B","m6>m1",12,,,,3,1,,,,,,4,,3,,2,1,,,,,,,,2,4,,6,,,4,5,,,5,"A2",
126,7,6,1,"2016-06-21 07:43:44","2016-06-29 11:28:12",1,5,8,1,1,,6,4069.41,14.28,1880.21,2174.92,"M",48,4,1,,,,,,,,,,1,,1,,,,1,,,,,,,,25,2,0,1,,,,,,1,,,2.75,1206.42,0.55,0.00227947149417284,2,"m2a",82,5,36,54,1,5,1,1,1,7,5,1,1,13,3,2,5,4,3,2,8,0,10,4,2,1,1,8,1,5,4,313.38,0.8,0.0127640564171294,3,"m3a",87,5,42,48,1,9,7,0,4,6,1,1,5,8,0,4,2,10,6,5,2,2,2,7,0,0,0,8,0,7,"m2vs3","m3vs2",4.52,"A=B","m3=m2",5,"A=B","m3=m2",2.33,"A>B","m3>m2",7.67,"A<B","m3<m2",16,2,1,,2,2,1,,,,,2,,2,,,,,,,1,,1,2,,6,3,,,,3,,2,2,2,"A2",
129,10,9,1,"2016-06-23 09:45:39","2016-06-23 09:59:29",1,6,8,1,1,,6,834.35,38.19,342.9,453.26,"F",32,4,4,,1,,1,,,1,,,1,,2,,1,,,1,,,,,,,3,2,2,2,,1,,,,1,,2,3,186.33,0.6,0.0161004669135405,2,"m2a",82,5,36,54,1,5,1,1,1,7,5,1,1,13,3,2,5,4,3,2,8,0,10,4,2,1,1,8,1,3,2,78.31,0.4,0.0255395224109309,6,"m6a",114,4,37,53,1,1,8,0,1,5,10,2,3,6,4,6,2,0,9,3,2,3,3,4,10,0,0,6,1,7,"m2vs6","m6vs2",1.95,"A>B","m6>m2",6.33,"A<B","m6<m2",4.56,"A=B","m6=m2",5.44,"A=B","m6=m2",11,,,,,,1,5,,2,3,,2,3,4,1,,,,2,,5,,1,,,,,,,,,,,,"A2",
138,19,13,1,"2016-06-28 03:29:29","2016-06-28 05:27:16",1,5,8,1,1,,4,1207.3,103.79,11.03,1092.48,"M",48,4,3,,1,,,,1,1,,,,,1,,,,,,,,,,1,,20,20,1,2,,,,1,1,,,7,4.75,559.14,0.95,0.00849518904031191,4,"m4a",96,4,40,50,1,4,4,1,4,2,11,2,5,6,2,3,3,3,6,3,2,2,9,2,0,2,1,10,2,7,3,234.92,0.6,0.0127703047846075,5,"m5a",102,4,45,45,3,0,2,1,4,3,8,7,5,12,2,2,2,1,2,1,1,2,10,4,7,0,4,3,4,5,"m4vs5","m5vs4",4.43,"A>B","m5>m4",5,"A=B","m5=m4",2.78,"A>B","m5>m4",7.22,"A<B","m5<m4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A1",
